2018-Aug-12 15:12:09.838261 INFO    [daemon] 
 _______         _   _       _____      _        
|__   __|       | | | |     / ____|    (_)      
   | |_   _ _ __| |_| | ___| |     ___  _ _ __  
   | | | | | '__| __| |/ _ \ |    / _ \| | '_ \ 
   | | |_| | |  | |_| |  __/ |___| (_) | | | | |
   |_|\__ _|_|   \__|_|\___|\_____\___/|_|_| |_|

2018-Aug-12 15:12:09.865297 INFO    [daemon] Welcome to TurtleCoin v0.7.0.1265 ()
2018-Aug-12 15:12:09.869297 INFO    [daemon] Module folder: C:\Miner\Wallets\TRTL\TurtleCoind.exe
2018-Aug-12 15:12:09.874475 INFO    [daemon] Loading Checkpoints for faster initial sync...
2018-Aug-12 15:12:09.879485 INFO    [daemon] Loaded 139 default checkpoints
2018-Aug-12 15:12:09.884167 INFO    [RocksDBWrapper] Opening DB in C:\Users\jrudd\AppData\Roaming/TurtleCoin/DB
2018-Aug-12 15:12:09.895261 INFO    [RocksDBWrapper] DB not found in C:\Users\jrudd\AppData\Roaming/TurtleCoin/DB. Creating new DB...
2018-Aug-12 15:12:09.939151 INFO    [daemon] Initializing core...
2018-Aug-12 15:12:09.945147 INFO    [daemon] Core initialized OK
2018-Aug-12 15:12:09.948224 INFO    [daemon] Initializing p2p server...
2018-Aug-12 15:12:09.952227 INFO    [node_server] Generated new peer ID: 8864095965046049315
2018-Aug-12 15:12:09.957124 INFO    [node_server] Binding on 0.0.0.0:11897
2018-Aug-12 15:12:09.962120 INFO    [node_server] Net service binded on 0.0.0.0:11897
2018-Aug-12 15:12:09.966041 INFO    [node_server] Attempting to add IGD port mapping.
2018-Aug-12 15:12:11.195302 INFO    [node_server] UPnP device was found but not recognized as IGD.
2018-Aug-12 15:12:11.200302 INFO    [daemon] P2p server initialized OK
2018-Aug-12 15:12:11.204302 INFO    [daemon] Starting core rpc server on address 127.0.0.1:11898
2018-Aug-12 15:12:11.210341 INFO    [daemon] Core rpc server started ok
2018-Aug-12 15:12:11.213351 INFO    [daemon] Starting p2p net loop...
2018-Aug-12 15:12:11.217353 INFO    [node_server] Starting node_server
2018-Aug-12 15:12:34.403585 INFO    [protocol] [174.138.68.141:11897 OUT] Your TurtleCoin node is syncing with the network. You are 685875 blocks (238 days) behind the Hare. Slow and steady wins the race! 
2018-Aug-12 15:12:34.416584 INFO    [protocol] New Top Block Detected: 685876
2018-Aug-12 15:12:39.587612 INFO    [Core] Block 100 (ab19373bc1555ed782217b050d9d26433fbae74638ea0801ffe03f442b471a77) added to main chain
2018-Aug-12 15:12:41.274102 INFO    [Core] Block 200 (226f82cc38b6bb8b34e61fcc129a9cbfb29ff557020cdb91d1ac664d7620564f) added to main chain
2018-Aug-12 15:12:43.972929 INFO    [Core] Block 300 (be573b0dee95c74061ec66070663eb705db94623098295ee4a1b551f5cc50869) added to main chain
2018-Aug-12 15:12:44.588223 INFO    [Core] Block 400 (2286c8ec6864e568c1fc3e586d6511feac6fb85a0c47c6ac7468f4174dcdc1d5) added to main chain
2018-Aug-12 15:12:44.762222 INFO    [protocol] [97.98.0.186:11897 OUT] Your TurtleCoin node is syncing with the network. You are 619609 blocks (215 days) behind the Hare. Slow and steady wins the race! 
